Name,API Name,Instance Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EMR cost
M8G 16xlarge,m8g.16xlarge,256 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$3.5904 hourly,$2.3750 hourly,$4.2816 hourly,$3.0663 hourly,$3.7154 hourly,$2.4350 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID 16xlarge,r6id.16xlarge,512 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$5.5680 hourly,$3.5078 hourly,$6.2592 hourly,$4.1990 hourly,$5.6930 hourly,$3.5677 hourly,$8.5120 hourly,$6.4518 hourly,$9.5936 hourly,$7.5334 hourly,$16.1920 hourly,$14.1318 hourly,$32.5120 hourly,$30.4518 hourly,$6.6496 hourly,$4.5894 hourly,$13.2480 hourly,$11.1878 hourly,$29.5680 hourly,$27.5078 hourly,$1.2096 hourly
M7A Eight Extra Large,m7a.8xlarge,128 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.3184 hourly,$1.5336 hourly,$2.6640 hourly,$1.8792 hourly,$2.4434 hourly,$1.5935 hourly,$3.7904 hourly,$3.0056 hourly,$4.3312 hourly,$3.5464 hourly,$7.6304 hourly,$6.8456 hourly,$15.7904 hourly,$15.0056 hourly,$2.8592 hourly,$2.0744 hourly,$6.1584 hourly,$5.3736 hourly,$14.3184 hourly,$13.5336 hourly,$0.4637 hourly
I4I Double Extra Large,i4i.2xlarge,64 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,1875 GB NVMe SSD,Yes,No,x86_64,Up to 12 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.8230 hourly,$0.5370 hourly,$0.9380 hourly,$0.6520 hourly,$0.9480 hourly,$0.5970 hourly,$1.1910 hourly,$0.9050 hourly,$1.3260 hourly,$1.0400 hourly,$2.1510 hourly,$1.8650 hourly,$4.1910 hourly,$3.9050 hourly,$0.9580 hourly,$0.6720 hourly,$1.7830 hourly,$1.4970 hourly,$3.8230 hourly,$3.5370 hourly,$0.1715 hourly
R5D 24xlarge,r5d.24xlarge,768 GiB,337 units,96 vCPUs,0,,0 GiB,0,0,3.5104 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,3600 GB (4×900 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$8.3520 hourly,$5.2620 hourly,$10.7330 hourly,$7.6430 hourly,$8.4770 hourly,$5.3220 hourly,$12.7680 hourly,$9.6780 hourly,$14.3900 hourly,$11.3000 hourly,$24.2880 hourly,$21.1980 hourly,$48.7680 hourly,$45.6780 hourly,$9.9740 hourly,$6.8840 hourly,$19.8720 hourly,$16.7820 hourly,$44.3520 hourly,$41.2620 hourly,$0.2700 hourly
M5AD 16xlarge,m5ad.16xlarge,256 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,2400 GB (4×600 GB NVMe SSD),Yes,No,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$4.1600 hourly,$2.6210 hourly,$5.7470 hourly,$4.2080 hourly,$4.2850 hourly,$2.6810 hourly,$7.1040 hourly,$5.5650 hourly,$8.1860 hourly,$6.6460 hourly,$14.7840 hourly,$13.2450 hourly,$31.1040 hourly,$29.5650 hourly,$5.2420 hourly,$3.7020 hourly,$11.8400 hourly,$10.3010 hourly,$28.1600 hourly,$26.6210 hourly,$0.2700 hourly
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,64 GiB,0 units,8 vCPUs,1,NVIDIA L40S,48 GiB,8.9,0,0.0000 units,AMD EPYC 7R13 Processor,2.6 GHz,unknown,unknown,unknown,unknown,450 GB NVMe SSD,Yes,No,x86_64,Up to 20 Gigabit,5000 Mbps,625 MB/s,20000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C6ID 12xlarge,c6id.12xlarge,96 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,2850 GB (2×1425 GB NVMe SSD),Yes,No,x86_64,18.75 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.1752 hourly,$2.0004 hourly,$4.3656 hourly,$3.1908 hourly,$3.3002 hourly,$2.0603 hourly,$5.3832 hourly,$4.2084 hourly,$6.1944 hourly,$5.0196 hourly,$11.1432 hourly,$9.9684 hourly,$23.3832 hourly,$22.2084 hourly,$3.9864 hourly,$2.8116 hourly,$8.9352 hourly,$7.7604 hourly,$21.1752 hourly,$20.0004 hourly,$0.6048 hourly
M6ID 32xlarge,m6id.32xlarge,512 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,7600 GB (4×1900 GB NVMe SSD),Yes,No,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$9.5424 hourly,$6.0117 hourly,$10.7712 hourly,$7.2405 hourly,$9.6674 hourly,$6.0716 hourly,$15.4304 hourly,$11.8997 hourly,$17.5936 hourly,$14.0629 hourly,$30.7904 hourly,$27.2597 hourly,$63.4304 hourly,$59.8997 hourly,$11.7056 hourly,$8.1749 hourly,$24.9024 hourly,$21.3717 hourly,$57.5424 hourly,$54.0117 hourly,$1.8984 hourly
M7A Extra Large,m7a.xlarge,16 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.2898 hourly,$0.1917 hourly,$0.3474 hourly,$0.2493 hourly,$0.3461 hourly,$0.2417 hourly,$0.4738 hourly,$0.3757 hourly,$0.5414 hourly,$0.4433 hourly,$0.9538 hourly,$0.8557 hourly,$1.9738 hourly,$1.8757 hourly,$0.3574 hourly,$0.2593 hourly,$0.7698 hourly,$0.6717 hourly,$1.7898 hourly,$1.6917 hourly,$0.0580 hourly
R7I Extra Large,r7i.xlarge,32 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.3171 hourly,$0.2095 hourly,$0.4447 hourly,$0.3371 hourly,$0.3734 hourly,$0.2595 hourly,$0.5011 hourly,$0.3935 hourly,$0.5687 hourly,$0.4611 hourly,$0.9811 hourly,$0.8735 hourly,$2.0011 hourly,$1.8935 hourly,$0.3847 hourly,$0.2771 hourly,$0.7971 hourly,$0.6895 hourly,$1.8171 hourly,$1.7095 hourly,$0.0662 hourly
M6ID 12xlarge,m6id.12xlarge,192 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,2850 GB (2×1425 GB NVMe SSD),Yes,No,x86_64,18.75 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.5784 hourly,$2.2544 hourly,$4.7688 hourly,$3.4448 hourly,$3.7034 hourly,$2.3143 hourly,$5.7864 hourly,$4.4624 hourly,$6.5976 hourly,$5.2736 hourly,$11.5464 hourly,$10.2224 hourly,$23.7864 hourly,$22.4624 hourly,$4.3896 hourly,$3.0656 hourly,$9.3384 hourly,$8.0144 hourly,$21.5784 hourly,$20.2544 hourly,$0.7119 hourly
R6A 24xlarge,r6a.24xlarge,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$6.5232 hourly,$4.3103 hourly,$8.9040 hourly,$6.6911 hourly,$6.6482 hourly,$4.3702 hourly,$10.9392 hourly,$8.7263 hourly,$12.5616 hourly,$10.3487 hourly,$22.4592 hourly,$20.2463 hourly,$46.9392 hourly,$44.7263 hourly,$8.1456 hourly,$5.9327 hourly,$18.0432 hourly,$15.8303 hourly,$42.5232 hourly,$40.3103 hourly,$1.3608 hourly
C7G Eight Extra Large,c7g.8xlarge,64 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.5098 hourly,$0.9968 hourly,$2.3034 hourly,$1.7904 hourly,$1.6348 hourly,$1.0567 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.2900 hourly
M5 General Purpose Eight Extra Large,m5.8xlarge,128 GiB,128 units,32 vCPUs,0,,0 GiB,0,0,4.0000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,10 Gigabit,6800 Mbps,850 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.9200 hourly,$1.2100 hourly,$2.7140 hourly,$2.0030 hourly,$2.0200 hourly,$1.2430 hourly,$3.3920 hourly,$2.6820 hourly,$3.9330 hourly,$3.2220 hourly,$7.2320 hourly,$6.5220 hourly,$15.3920 hourly,$14.6820 hourly,$2.4610 hourly,$1.7500 hourly,$5.7600 hourly,$5.0500 hourly,$13.9200 hourly,$13.2100 hourly,$0.2700 hourly
I4I Extra Large,i4i.xlarge,32 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,937 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.4110 hourly,$0.2690 hourly,$0.5390 hourly,$0.3960 hourly,$0.4680 hourly,$0.3190 hourly,$0.5950 hourly,$0.4530 hourly,$0.6630 hourly,$0.5200 hourly,$1.0750 hourly,$0.9330 hourly,$2.0950 hourly,$1.9530 hourly,$0.4790 hourly,$0.3360 hourly,$0.8910 hourly,$0.7490 hourly,$1.9110 hourly,$1.7690 hourly,$0.0858 hourly
C6ID 32xlarge,c6id.32xlarge,256 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,7600 GB (4×1900 GB NVMe SSD),Yes,No,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$8.4672 hourly,$5.3343 hourly,$9.6960 hourly,$6.5631 hourly,$8.5922 hourly,$5.3942 hourly,$14.3552 hourly,$11.2223 hourly,$16.5184 hourly,$13.3855 hourly,$29.7152 hourly,$26.5823 hourly,$62.3552 hourly,$59.2223 hourly,$10.6304 hourly,$7.4975 hourly,$23.8272 hourly,$20.6943 hourly,$56.4672 hourly,$53.3343 hourly,$1.6128 hourly
R5D 16xlarge,r5d.16xlarge,512 GiB,256 units,64 vCPUs,0,,0 GiB,0,0,4.0000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,2400 GB (4×600 GB NVMe SSD),Yes,No,x86_64,20 Gigabit,13600 Mbps,1700 MB/s,60000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$5.5680 hourly,$3.5080 hourly,$6.2590 hourly,$4.1990 hourly,$5.6930 hourly,$3.5680 hourly,$8.5120 hourly,$6.4520 hourly,$9.5940 hourly,$7.5330 hourly,$16.1920 hourly,$14.1320 hourly,$32.5120 hourly,$30.4520 hourly,$6.6500 hourly,$4.5890 hourly,$13.2480 hourly,$11.1880 hourly,$29.5680 hourly,$27.5080 hourly,$0.2700 hourly
M5 General Purpose Double Extra Large,m5d.2xlarge,32 GiB,37 units,8 vCPUs,0,,0 GiB,0,0,4.6250 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,300 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.5680 hourly,$0.3580 hourly,$0.8230 hourly,$0.6130 hourly,$0.6680 hourly,$0.3910 hourly,$0.9360 hourly,$0.7260 hourly,$1.0710 hourly,$0.8610 hourly,$1.8960 hourly,$1.6860 hourly,$3.9360 hourly,$3.7260 hourly,$0.7030 hourly,$0.4930 hourly,$1.5280 hourly,$1.3180 hourly,$3.5680 hourly,$3.3580 hourly,$0.1130 hourly
G6e Graphics and Machine Learning GPU 12xlarge,g6e.12xlarge,384 GiB,0 units,48 vCPUs,4,NVIDIA L40S,192 GiB,8.9,0,0.0000 units,AMD EPYC 7R13 Processor,2.6 GHz,unknown,unknown,unknown,unknown,3800 GB (2×1900 GB NVMe SSD),Yes,No,x86_64,100 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,300,10,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M8G Extra Large,m8g.xlarge,16 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,No,$0.2244 hourly,$0.1484 hourly,$0.2820 hourly,$0.2060 hourly,$0.2807 hourly,$0.1984 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
Z1D Double Extra Large,z1d.2xlarge,64 GiB,45 units,8 vCPUs,0,,0 GiB,0,0,5.6250 units,Intel Xeon Platinum 8151,4 GHz,Yes,Yes,Yes,Yes,300 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.9040 hourly,$0.5700 hourly,$1.0190 hourly,$0.6850 hourly,$1.0290 hourly,$0.6300 hourly,$1.2720 hourly,$0.9380 hourly,$1.4070 hourly,$1.0730 hourly,$2.2320 hourly,$1.8980 hourly,$4.2720 hourly,$3.9380 hourly,$1.0390 hourly,$0.7050 hourly,$1.8640 hourly,$1.5300 hourly,$3.9040 hourly,$3.5700 hourly,$0.1860 hourly
M5 General Purpose 24xlarge,m5d.24xlarge,384 GiB,337 units,96 vCPUs,0,,0 GiB,0,0,3.5104 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,3600 GB (4×900 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$6.8160 hourly,$4.2940 hourly,$9.1970 hourly,$6.6750 hourly,$6.9160 hourly,$4.3270 hourly,$11.2320 hourly,$8.7100 hourly,$12.8540 hourly,$10.3320 hourly,$22.7520 hourly,$20.2300 hourly,$47.2320 hourly,$44.7100 hourly,$8.4380 hourly,$5.9160 hourly,$18.3360 hourly,$15.8140 hourly,$42.8160 hourly,$40.2940 hourly,$0.2700 hourly
R5AD Quadruple Extra Large,r5ad.4xlarge,128 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,600 GB (2×300 GB NVMe SSD),Yes,No,x86_64,Up to 10 Gigabit,2880 Mbps,360 MB/s,16000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.2720 hourly,$0.8010 hourly,$1.6690 hourly,$1.1980 hourly,$1.3970 hourly,$0.8610 hourly,$2.0080 hourly,$1.5370 hourly,$2.2780 hourly,$1.8080 hourly,$3.9280 hourly,$3.4570 hourly,$8.0080 hourly,$7.5370 hourly,$1.5420 hourly,$1.0720 hourly,$3.1920 hourly,$2.7210 hourly,$7.2720 hourly,$6.8010 hourly,$0.2620 hourly
M5 General Purpose Quadruple Extra Large,m5.4xlarge,64 GiB,70 units,16 vCPUs,0,,0 GiB,0,0,4.3750 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$0.9600 hourly,$0.6050 hourly,$1.1330 hourly,$0.7780 hourly,$1.0600 hourly,$0.6380 hourly,$1.6960 hourly,$1.3410 hourly,$1.9660 hourly,$1.6110 hourly,$3.6160 hourly,$3.2610 hourly,$7.6960 hourly,$7.3410 hourly,$1.2300 hourly,$0.8750 hourly,$2.8800 hourly,$2.5250 hourly,$6.9600 hourly,$6.6050 hourly,$0.1920 hourly
M5DN 24xlarge,m5dn.24xlarge,384 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,3600 GB (4×900 GB NVMe SSD),Yes,No,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M5DN 16xlarge,m5dn.16xlarge,256 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,2400 GB (4×600 GB NVMe SSD),Yes,No,x86_64,75 Gigabit,13600 Mbps,1700 MB/s,60000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R5DN Eight Extra Large,r5dn.8xlarge,256 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,1200 GB (2×600 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,6800 Mbps,850 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.2640 hourly,$2.0563 hourly,$3.6096 hourly,$2.4019 hourly,$3.3890 hourly,$2.1163 hourly,$4.7360 hourly,$3.5283 hourly,$5.2768 hourly,$4.0691 hourly,$8.5760 hourly,$7.3683 hourly,$16.7360 hourly,$15.5283 hourly,$3.8048 hourly,$2.5971 hourly,$7.1040 hourly,$5.8963 hourly,$15.2640 hourly,$14.0563 hourly,$0.2700 hourly
C6I Large,c6i.large,4 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1110 hourly,$0.0733 hourly,$0.1748 hourly,$0.1371 hourly,$0.1673 hourly,$0.0983 hourly,$0.2030 hourly,$0.1653 hourly,$0.2706 hourly,$0.2329 hourly,$0.6830 hourly,$0.6453 hourly,unavailable,unavailable,$0.1786 hourly,$0.1409 hourly,$0.5910 hourly,$0.5533 hourly,unavailable,unavailable,unavailable
R6IDN Eight Extra Large,r6idn.8xlarge,256 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,1900 GB NVMe SSD,Yes,No,x86_64,50 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.8189 hourly,$2.4059 hourly,$4.6125 hourly,$3.1995 hourly,$3.9439 hourly,$2.4658 hourly,$5.2909 hourly,$3.8779 hourly,$5.8317 hourly,$4.4187 hourly,$9.1309 hourly,$7.7179 hourly,$17.2909 hourly,$15.8779 hourly,$4.3597 hourly,$2.9467 hourly,$7.6589 hourly,$6.2459 hourly,$15.8189 hourly,$14.4059 hourly,$0.7816 hourly
R6IDN Quadruple Extra Large,r6idn.4xlarge,128 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,950 GB NVMe SSD,Yes,No,x86_64,Up to 50 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.9094 hourly,$1.2029 hourly,$2.0822 hourly,$1.3758 hourly,$2.0344 hourly,$1.2629 hourly,$2.6454 hourly,$1.9389 hourly,$2.9158 hourly,$2.2094 hourly,$4.5654 hourly,$3.8590 hourly,$8.6454 hourly,$7.9390 hourly,$2.1798 hourly,$1.4733 hourly,$3.8294 hourly,$3.1229 hourly,$7.9094 hourly,$7.2030 hourly,$0.3908 hourly
C6IN Double Extra Large,c6in.2xlarge,16 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 40 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.5922 hourly,$0.3731 hourly,$0.8474 hourly,$0.6283 hourly,$0.7172 hourly,$0.4330 hourly,$0.9602 hourly,$0.7411 hourly,$1.0954 hourly,$0.8763 hourly,$1.9202 hourly,$1.7011 hourly,$3.9602 hourly,$3.7411 hourly,$0.7274 hourly,$0.5083 hourly,$1.5522 hourly,$1.3331 hourly,$3.5922 hourly,$3.3731 hourly,$0.1134 hourly
M5DN Eight Extra Large,m5dn.8xlarge,128 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,1200 GB (2×600 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,6800 Mbps,850 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D3 Extra Large,d3.xlarge,32 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,Yes,Yes,Yes,Yes,5940 GB (3×1980 GB NVMe HDD),Yes,N/A,x86_64,Up to 15 Gigabit,2800 Mbps,350 MB/s,15000 IOPS,Yes,12,4,Yes,Yes,Yes,Unknown,Yes,$0.6260 hourly,$0.3940 hourly,$0.6840 hourly,$0.4520 hourly,$0.6820 hourly,$0.4440 hourly,$0.8100 hourly,$0.5780 hourly,$0.8780 hourly,$0.6460 hourly,$1.2900 hourly,$1.0580 hourly,$2.3100 hourly,$2.0780 hourly,$0.6940 hourly,$0.4620 hourly,$1.1060 hourly,$0.8740 hourly,$2.1260 hourly,$1.8940 hourly,$0.1247 hourly
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,16 units,4 vCPUs,0,,0 GiB,0,0,4.0000 units,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,High,750 Mbps,93.75 MB/s,6000 IOPS,No,60,4,Yes,Yes,Yes,Unknown,Yes,$0.2610 hourly,$0.1680 hourly,$0.3880 hourly,$0.2960 hourly,$0.3610 hourly,$0.2010 hourly,$0.4450 hourly,$0.3520 hourly,$0.6860 hourly,$0.4230 hourly,$1.5720 hourly,$1.3190 hourly,$1.9450 hourly,$1.8520 hourly,$0.3280 hourly,$0.2360 hourly,$0.7400 hourly,$0.6480 hourly,$1.7600 hourly,$1.6680 hourly,$0.0520 hourly
